"project","kind","version","loader","minecraft","url","filename","dependencies","classification"
"Craftable Arcane Essence","addon","1.0","forge","1.20.1","https://cdn.modrinth.com/data/R0GCHB0p/versions/X82k4ez0/craftable_arcane_essence-1.0.jar","craftable_arcane_essence-1.0.jar","unknown","needs-testing"
"Create: Enhanced Mastery","addon","1.0.0","forge","1.20.1","https://cdn.modrinth.com/data/YA6YzEfz/versions/uCI0GdFn/enhancedmastery-1.0.0.jar","enhancedmastery-1.0.0.jar","Iron's Spells 'n Spellbooks s4OWxYQQ; Create LNytGWDc","active"
"Create: Wizardry","addon","1.20.1-0.4.2","forge","1.20.1","https://cdn.modrinth.com/data/OeGdeWEj/versions/LTOnyKql/create_wizardry-1.20.1-0.4.2.jar","create_wizardry-1.20.1-0.4.2.jar","unknown","needs-testing"
"CTOV - Iron's Spells 'n Spellbooks compat","addon","1.2+mod","forge","1.20.1","https://cdn.modrinth.com/data/B8XiXauo/versions/o57gj0aQ/ctov-irons-spells-n-spellbooks-compat-1.2.jar","ctov-irons-spells-n-spellbooks-compat-1.2.jar","CTOV fgmhI8kH; Iron's Spells 'n Spellbooks non déclaré","needs-testing"
"Daily Boss x Iron's Spells n Spellbooks","addon","1.0","forge","1.20.1","https://cdn.modrinth.com/data/vwhklX1n/versions/Vcxo2Jr7/DailyBoss-IronsSpellbooks-1.20.1-1.0.jar","DailyBoss-IronsSpellbooks-1.20.1-1.0.jar","Iron's Spells 'n Spellbooks s4OWxYQQ; Daily Boss mJhVtlhq","active"
"Dark Doppelganger","addon","9.8.3-1.20.1","forge","1.20.1","https://mediafilez.forgecdn.net/files/8420/264/darkdoppelganger-9.8.3-1.20.1.jar","darkdoppelganger-9.8.3-1.20.1.jar","Curios API; GeckoLib; Iron's Spells 'n Spellbooks; playerAnimator","active"
"Deeper and Darker: Spellbooks","addon","1.3.1-1.20.1","forge","1.20.1","https://cdn.modrinth.com/data/bY4q13Xr/versions/TNrkYR0t/darkermagic-1.3.1-1.20.1-ver.b.jar","darkermagic-1.3.1-1.20.1-ver.b.jar","Iron's Spells 'n Spellbooks s4OWxYQQ 1.20.1-3.15.1; Deeper and Darker fnAffV0n 1.3.3-forge+1.20.1","active"
"Dungeons and Combat x Iron's Spells","addon","1.5.4","forge","1.20.1","https://cdn.modrinth.com/data/m0cRpuu6/versions/BT2oXI8t/dacxirons-1.5.4.jar","dacxirons-1.5.4.jar","Dungeons and Combat; Iron's Spells 'n Spellbooks","needs-testing"
"Dungeons and Minecraft","addon","0.2.0-1.20.1-hotfix","forge","1.20.1","https://cdn.modrinth.com/data/The3aFE5/versions/vTK7pvtt/dnmmod-0.2.0-1.20.1-hotfix.jar","dnmmod-0.2.0-1.20.1-hotfix.jar","Pufferfish's Attributes FCFcFw09; Iron's Spells 'n Spellbooks s4OWxYQQ","needs-testing"
"EC Iron's Spells Compat","addon","1.0.0","forge","1.20.1","https://cdn.modrinth.com/data/IiQQ2cUS/versions/OzoWZAUM/ec_isasb_plugin-1.20.1-1.0.0-all.jar","ec_isasb_plugin-1.20.1-1.0.0-all.jar","Expanded Combat sElBpAJt; Iron's Spells 'n Spellbooks s4OWxYQQ; Curios vvuO3ImH; Cloth Config 9s6osm5g","active"
"Elder Tales","addon","1.5.1","forge","1.20.1","https://cdn.modrinth.com/data/HLT10Whe/versions/8PfdyIcJ/elder_tales-1.5.1.jar","elder_tales-1.5.1.jar","Iron's Spells 'n Spellbooks 1.20.1-3.15.5.1","needs-testing"
"Elemental Attack Damage Compat","addon","1.2.5-1.20.1","forge","1.20.1","https://cdn.modrinth.com/data/O9BOTj1n/versions/rcjRZAlt/elementalattackdamagecompat-1.2.5-1.20.1.jar","elementalattackdamagecompat-1.2.5-1.20.1.jar","unknown","needs-testing"
"Epic Fight x Iron's Spells: Enhanced Animation","addon","2.6.0","forge","1.20.1","https://cdn.modrinth.com/data/LMXo8kAe/versions/6zJ06Tck/efiscompat-2.6.0.jar","efiscompat-2.6.0.jar","unknown","needs-testing"
"Galosphere Spellbooks","addon","1.1.0","forge","1.20.1","https://cdn.modrinth.com/data/39Nrer0H/versions/JbbFKxYN/galosphere_spellbooks-1.1.0%20%281%29.jar","galosphere_spellbooks-1.1.0 (1).jar","unknown","needs-testing"
"Gambler Illager","addon","1.0.0","forge","1.20.1","https://mediafilez.forgecdn.net/files/7293/188/gambler-1.0.0.jar","gambler-1.0.0.jar","Iron's Spells 'n Spellbooks","active"
"GoetyIron","addon","2.0.2","forge","1.20.1","https://cdn.modrinth.com/data/tZpynDu5/versions/y36cwTDi/goetyiron-2.0.2.jar","goetyiron-2.0.2.jar","unknown","needs-testing"
"GTBC's Geomancy Plus","addon","geomancy_plus-2.0.0-1.20.1","forge","1.20.1","https://mediafilez.forgecdn.net/files/7580/390/gtbcs_geomancy_plus-2.0.0-1.20.1.jar","gtbcs_geomancy_plus-2.0.0-1.20.1.jar","GTBC's SpellLib/API; Iron's Spells 'n Spellbooks; Mowzie's Mobs","active"
"Hazen 'n Stuff","addon","1.1.2","forge","1.20.1","https://cdn.modrinth.com/data/I94FeWYD/versions/4opC9DbH/hazennstuff-watered-down-edition-1.1.2.jar","hazennstuff-watered-down-edition-1.1.2.jar","unknown","needs-testing"
"Ice and Fire: Spellbooks","addon","2.3.2-1.20.1","forge","1.20.1","https://cdn.modrinth.com/data/aw5e7yPa/versions/fkpYeaSE/ice_and_fire_spellbooks-2.3.2-1.20.1.jar","ice_and_fire_spellbooks-2.3.2-1.20.1.jar","Iron's Spells 'n Spellbooks s4OWxYQQ; GeckoLib 8BmcQJ2H; Ice and Fire LVnvHVBp","active"
"Illage and Spell-age","addon","illage-and-spell-age-1.1.0-1.20.1","forge","1.20.1","https://mediafilez.forgecdn.net/files/7003/776/ias_spellbooks-1.1.0-1.20.1.jar","ias_spellbooks-1.1.0-1.20.1.jar","GTBC's SpellLib/API; Illage and Spillage: Respillaged; Iron's Spells 'n Spellbooks","active"
"IMA","addon","1.20.1-1.0.0","forge","1.20.1","https://cdn.modrinth.com/data/24Jdn7TQ/versions/puYuSlVz/ima-1.20.1-1.0.0.jar","ima-1.20.1-1.0.0.jar","Iron's Spells 'n Spellbooks s4OWxYQQ","active"
"Interlace SpellWeaves","addon","0.2.4-fix-3.15compatible","forge","1.20.1","https://mediafilez.forgecdn.net/files/8191/134/iss_csw-0.2.4-fix-3.15compatible.jar","iss_csw-0.2.4-fix-3.15compatible.jar","Iron's Spells 'n Spellbooks 3.15","needs-testing"
"Iotic Spellbooks","addon","1.1.0","forge","1.20.1","https://cdn.modrinth.com/data/Y928i4cC/versions/wQ5ZBE9g/ioticspellbooks-1.1.0.jar","ioticspellbooks-1.1.0.jar","Hex Casting; Iron's Spells 'n Spellbooks","needs-testing"
"Iron's Botany","addon","1.7.2","forge","1.20.1","https://cdn.modrinth.com/data/bbBtnO7V/versions/sgECE4KD/ironsbotany-1.7.2.jar","ironsbotany-1.7.2.jar","unknown","needs-testing"
"Iron's Epic Spell Slinger","addon","1.0.0","forge","1.20.1","https://mediafilez.forgecdn.net/files/8024/61/irons_epic_spell_slingers-forge-1.0.0.jar","irons_epic_spell_slingers-forge-1.0.0.jar","Iron's Spells 'n Spellbooks 1.20.1-3.15.4+; MrCrayfish's Gun Mod [Unofficial]","needs-testing"
"Iron's Hexes","addon","0.1-1.20.1","forge","1.20.1","https://cdn.modrinth.com/data/esyVsJMB/versions/2VqwI0Eu/hexxyspells-0.1-1.20.1.jar","hexxyspells-0.1-1.20.1.jar","Iron's Spells 'n Spellbooks s4OWxYQQ; Hex Casting nTW3yKrm 0.11.3","needs-testing"
"Iron's Spellbooks Arcane Essence Blocks","addon","1.0.0","forge","1.20.1","https://cdn.modrinth.com/data/Pkj2hNRk/versions/kaccDUXC/Arcane_EssencePlus.jar","Arcane_EssencePlus.jar","Iron's Spells 'n Spellbooks s4OWxYQQ","active"
"Iron's Spellbooks Tweaks","addon","1.5.0","forge","1.20.1","https://cdn.modrinth.com/data/Km6YZ1yF/versions/KTt0kq5Y/irons_spellbooks_tweaks-1.5.0.jar","irons_spellbooks_tweaks-1.5.0.jar","optional: Iron's Spells 'n Spellbooks s4OWxYQQ optionnel","active"
"Iron's Spells More Interaction","addon","1.3.3","forge","1.20.1","https://cdn.modrinth.com/data/bnqtvEUr/versions/1kYKCLGl/irons_spells_more_interaction-1.3.3.jar","irons_spells_more_interaction-1.3.3.jar","Iron's Lib; Iron's Spells 'n Spellbooks","needs-testing"
"Iron's Spells More Quick Cast","addon","1.20.1-1.0.1","forge","1.20.1","https://cdn.modrinth.com/data/pIurXcQK/versions/kbw7x0GJ/more_quick_cast-1.20.1-1.0.1.jar","more_quick_cast-1.20.1-1.0.1.jar","Iron's Spells 'n Spellbooks s4OWxYQQ; Cloth Config 9s6osm5g","active"
"Iron's Spells 'n Spellbooks","base-mod","1.20.1-3.16.2","forge","1.20.1","https://cdn.modrinth.com/data/s4OWxYQQ/versions/9v34JOKI/irons_spellbooks-1.20.1-3.16.2.jar","irons_spellbooks-1.20.1-3.16.2.jar","Curios API; GeckoLib; Iron's Lib; playerAnimator","dependencies"
"Iron's Spells 'n Spellbooks Dynamic Skill Trees","addon","1.1.0","forge","1.20.1","https://cdn.modrinth.com/data/cdEXZLO4/versions/j2XQWLuk/irons_spells_dynamic_skilltree_1.1.0.jar","irons_spells_dynamic_skilltree_1.1.0.jar","Pufferfish's Skills hqQqvaa4; Iron's Spells 'n Spellbooks s4OWxYQQ; Pufferfish's Attributes FCFcFw09; Pufferfish's Unofficial Additions IAao6ECB","active"
"Irons Spells 'n Spellbooks Restrictions","addon","1.20.1-1.3.4","forge","1.20.1","https://cdn.modrinth.com/data/Hrfqig7V/versions/qyxjhBwQ/irons_restrictions-1.20.1-1.3.4.jar","irons_restrictions-1.20.1-1.3.4.jar","Iron's Spells 'n Spellbooks s4OWxYQQ","active"
"Iron's Spells: Spoken Sorcery (Ported)","addon","1.0.0","forge","1.20.1","https://cdn.modrinth.com/data/xFlhiDHT/versions/RX82co4X/voicecastaddon-1.0.0.jar","voicecastaddon-1.0.0.jar","unknown","needs-testing"
"ISS: Food Spelling","addon","1.0.1","forge","1.20.1","https://cdn.modrinth.com/data/WRPZLJIA/versions/itqDAw8T/ISS-Food%20Spelling-1.20.1-1.0.1.jar","ISS-Food Spelling-1.20.1-1.0.1.jar","Iron's Spells 'n Spellbooks s4OWxYQQ","active"
"JustLeveling Fork x IronSpell","addon","1.1","forge","1.20.1","https://cdn.modrinth.com/data/RJ1TZdgN/versions/dWO1fCdY/JustLeveling%20x%20IronSpell-1.1.jar","JustLeveling x IronSpell-1.1.jar","unknown","needs-testing"
"KubeJS Iron's Spells","addon","6.5-3.14-r2","forge","1.20.1","https://cdn.modrinth.com/data/XLsvc8Ld/versions/a6NiiKTW/irons_spells_js-1.20.1-6.5-3.14-r2-release.jar","irons_spells_js-1.20.1-6.5-3.14-r2-release.jar","KubeJS; Iron's Spells 'n Spellbooks","needs-testing"
"Magic Circles - ISAS Addon","addon","1.2.2-1.20.1","forge","1.20.1","https://cdn.modrinth.com/data/klEV5T4u/versions/QYfxeQKa/magiccircles-1.2.2-1.20.1.jar","magiccircles-1.2.2-1.20.1.jar","Iron's Spells 'n Spellbooks s4OWxYQQ","active"
"Magic From The East","addon","1.20.1-1.0.0beta","forge","1.20.1","https://cdn.modrinth.com/data/NfYqagMx/versions/XC2kXPPd/iss_magicfromtheeast-1.20.1-1.0.0alpha.jar","iss_magicfromtheeast-1.20.1-1.0.0alpha.jar","Iron's Spells 'n Spellbooks s4OWxYQQ","needs-testing"
"Magic Team","addon","2.3.1","forge","1.20.1","https://cdn.modrinth.com/data/OhIMcGps/versions/IFONbjyP/magic_team-2.3.1.jar","magic_team-2.3.1.jar","Babel Core ew9qW5hd; Iron's Spells 'n Spellbooks non déclaré","needs-testing"
"miaoModifiesIronspellsArtifacts","addon","1.2","forge","1.20.1","https://cdn.modrinth.com/data/H1WYtF8Y/versions/8GegA3gD/miaoModifiesIronspellsArtifacts-1.2.jar","miaoModifiesIronspellsArtifacts-1.2.jar","unknown","needs-testing"
"Mobbility [Addon: Iron's Spells 'n Spellbooks]","addon","1.0.1","forge","1.20.1","https://cdn.modrinth.com/data/OL6dEywl/versions/yT1Z6eeH/mobbility-addon-irons-spellbooks-1.0.1.jar","mobbility-addon-irons-spellbooks-1.0.1.jar","Iron's Spells 'n Spellbooks; Architectury API; Mobbility Core; Fzzy Config; Mob Player Animator","needs-testing"
"Mobbility Core","dependency","1.0.1","forge","1.20.1","https://mediafilez.forgecdn.net/files/7810/161/mobbility-forge-1.0.1.jar","mobbility-forge-1.0.1.jar","Fzzy Config; Mob Player Animator","dependencies"
"Osmium's Magic","addon","1.0.5","forge","1.20.1","https://cdn.modrinth.com/data/enr5Vj1O/versions/wOcg3P1f/osmiumsmagic-1.0.5.jar","osmiumsmagic-1.0.5.jar","Iron's Spells 'n Spellbooks 1.20.1-3.4.0.9","needs-testing"
"Paladin Spells","addon","1.20.1-0.342","forge","1.20.1","https://cdn.modrinth.com/data/JnNkkyFG/versions/SNBIYEK7/paladin_spells-1.20.1-0.342.jar","paladin_spells-1.20.1-0.342.jar","unknown","needs-testing"
"Project MMO: Iron's Spells & Spellbooks Compat","addon","1.20.1-1.0.8","forge","1.20.1","https://cdn.modrinth.com/data/gGnLhnCP/versions/1gJvWlTx/pmmo_spellbooks_compat-1.20.1-1.0.8.jar","pmmo_spellbooks_compat-1.20.1-1.0.8.jar","Iron's Spells 'n Spellbooks s4OWxYQQ; Project MMO KFQYC1Uy","active"
"ProjectE: EMC for Iron's Spellbooks","addon","0.1.0+forge-1.20.1","forge","1.20.1","https://cdn.modrinth.com/data/u2PyIpPY/versions/FyAJY4zH/irons_spellbooks_emc-0.1.0%2Bforge-1.20.1.jar","irons_spellbooks_emc-0.1.0+forge-1.20.1.jar","Iron's Spells 'n Spellbooks s4OWxYQQ; ProjectE non déclaré","needs-testing"
"Sanctified Legacy","addon","2.2.6-hotfix","forge","1.20.1","https://mediafilez.forgecdn.net/files/7821/584/covenant_of_the_seven-2.2.6-hotfix.jar","covenant_of_the_seven-2.2.6-hotfix.jar","AttributeFix; Blood Magic; Enigmatic Legacy; Iron's Spells 'n Spellbooks; Nature's Aura","needs-testing"
"SAROX","addon","1.3","forge","1.20.1","https://cdn.modrinth.com/data/kIL5YNlf/versions/U6vXcS34/sarox-1.3.jar","sarox-1.3.jar","optional: Iron's Spells 'n Spellbooks s4OWxYQQ; Curios vvuO3ImH; Demi's Enigmatic Dice 2la1vBXs optionnels","active"
"Shoulder Surfing: Iron's Spells Integration","addon","0.0.8-mc1.20.1-forge","forge","1.20.1","https://cdn.modrinth.com/data/d6lYuivc/versions/fODSe0ST/shoulder_surfing_irons_spells_integration-0.0.8-mc1.20.1-forge.jar","shoulder_surfing_irons_spells_integration-0.0.8-mc1.20.1-forge.jar","Shoulder Surfing Reloaded kepjj2sy; Iron's Spells 'n Spellbooks s4OWxYQQ","active"
"Skydude's Spell Origins","addon","1.0","forge","1.20.1","https://cdn.modrinth.com/data/pusLkSKJ/versions/h7NR5pI5/spellrigins-1.0.jar","spellrigins-1.0.jar","Iron's Spells 'n Spellbooks s4OWxYQQ 1.20.1-3.4.0.11; Origins Forge jl3m2lR9 optionnel","active"
"Slimes and Slimebooks","addon","v1.0.2","forge","1.20.1","https://cdn.modrinth.com/data/PjKbhjzQ/versions/cpi26IzQ/slimes_and_slimebooks-1.0.2.jar","slimes_and_slimebooks-1.0.2.jar","unknown","needs-testing"
"Spellbound Fire Charges","addon","1.0.1","forge","1.20.1","https://cdn.modrinth.com/data/TeATnhvU/versions/WAEzgqP0/sbfc-1.20.1-1.0.1.jar","sbfc-1.20.1-1.0.1.jar","Iron's Spells 'n Spellbooks s4OWxYQQ; Amendments 6iTJugQR","active"
"Spells Gone Wrong","addon","1.20.1-2.0.2","forge","1.20.1","https://cdn.modrinth.com/data/4ugLsKOh/versions/3TdzvvZ6/spells_gone_wrong-1.20.1-2.0.2.jar","spells_gone_wrong-1.20.1-2.0.2.jar","Iron's Spells 'n Spellbooks s4OWxYQQ; JinxedLib Vrr7WtS4","active"
"T.O Magic 'n Extras","addon","Release-v6.3.0-1.20.1","forge","1.20.1","https://mediafilez.forgecdn.net/files/7424/522/traveloptics-6.3.0-1.20.1.jar","traveloptics-6.3.0-1.20.1.jar","Alex's Caves; Apothic Attributes; Curios API; Iron's Spells 'n Spellbooks; L_Ender's Cataclysm","active"
"Trev's Custom Origins: Arvonian","addon","1.4.15","forge","1.20.1","https://cdn.modrinth.com/data/yxUsMOZs/versions/A8Qz6EvG/Trev%27s%20advanced%20origins_%20arvonian%201.4.15.jar","Trev's advanced origins_ arvonian 1.4.15.jar","Origins Forge jl3m2lR9; Iron's Spells 'n Spellbooks s4OWxYQQ","active"
"Ward Ring Extension","addon","1.0.0","forge","1.20.1","https://mediafilez.forgecdn.net/files/6099/816/wre-1.0.0-forge-1.20.1.jar","wre-1.0.0-forge-1.20.1.jar","Iron's Spells 'n Spellbooks","active"
"Wind's Spellbooks","addon","1.0.2","forge","1.20.1","https://mediafilez.forgecdn.net/files/8257/717/wind_spellbooks-1.20.1-1.0.2.jar","wind_spellbooks-1.20.1-1.0.2.jar","Iron's Spells 'n Spellbooks","needs-testing"
"Wizard Samurai - Iron's Spells Addon","addon","1.5","forge","1.20.1","https://cdn.modrinth.com/data/Za7950Bh/versions/Uk2HLdUj/wizard_samurai-1.5.jar","wizard_samurai-1.5.jar","Samurai Dynasty lMWJDrbO; AzureLib 7zlUOZvb; Iron's Spells 'n Spellbooks s4OWxYQQ","active"
