"project","version","filename","classification","source","sha256","size","status","dependencies"
"BarrelSpell","1.9","barrelspell-1.9.jar","needs-testing","https://cdn.modrinth.com/data/36z3F6gn/versions/Cwcuyqry/barrelspell-1.9.jar","21366404f44db42e728923f88bc0c3f90b361fb3ca37973d3b3556bd08470eb9","103045","valid","unknown"
"BielGG's Spells Addon","1.2","bielgg_spells-1.2.jar","active","https://cdn.modrinth.com/data/ED55R9vA/versions/PtHM9Lh0/bielgg_spells-1.2.jar","90a455707ae4bd088a78ed71f6cfe6ab1366360676bf8458290ca16d594a987a","15463058","valid","Cataclysm 46KJle7n 3.32; Curios vvuO3ImH; ROARING noogFnLJ Beta-0.3; Iron's Spells 'n Spellbooks s4OWxYQQ 1.20.1-3.16.2"
"Blatium Spellbooks","1.20.1+0.3","blatium_spellbooks-1.20.1+0.3.jar","active","https://cdn.modrinth.com/data/KR1jZtJL/versions/bd0jgXBA/blatium_spellbooks-1.20.1%2B0.3.jar","f2fb8e3d2ec8356233738c2dba3a928d47b650afac9fb657fbdd331351ee1cd7","58900","valid","Blatium ToWlReoc; Iron's Spells 'n Spellbooks s4OWxYQQ"
"Cataclysm: Spellbooks","1.2.9-1.20.1","cataclysm_spellbooks-1.2.9-1.20.1-all.jar","active","https://cdn.modrinth.com/data/3FEg0A8D/versions/e7VE8bSy/cataclysm_spellbooks-1.2.9-1.20.1-all.jar","e177494251434c5f04ebc065e6e1c478a327dcd14dd2550bde38adc640ff4ae8","1266452","valid","Iron's Spells 'n Spellbooks s4OWxYQQ; AzureLib 7zlUOZvb; Cataclysm 46KJle7n"
"Construct's Casting","2.2.5","constructs_casting-2.2.5.jar","active","https://cdn.modrinth.com/data/nuBOPsPE/versions/UYAU4ZNo/constructs_casting-2.2.5.jar","b3ce1045c46083b097d5ba0219026458fb70759edfe1be0deee5c99628bf83b0","2001758","valid","Tinkers' Construct rxIIYO6c 3.11.2.166; Iron's Spells 'n Spellbooks s4OWxYQQ 1.20.1-3.16.0"
"Craftable Arcane Essence","1.0","craftable_arcane_essence-1.0.jar","needs-testing","https://cdn.modrinth.com/data/R0GCHB0p/versions/X82k4ez0/craftable_arcane_essence-1.0.jar","a2ed6edced89fe82b30a528f33844fa6e700dd15b9119af4a5e1af6b21145394","11734","valid","unknown"
"Create: Enhanced Mastery","1.0.0","enhancedmastery-1.0.0.jar","active","https://cdn.modrinth.com/data/YA6YzEfz/versions/uCI0GdFn/enhancedmastery-1.0.0.jar","c227dab18a789304f534080ddcaa1419f85a765166b2a63ffc85bf6dc3acf07f","187746","valid","Iron's Spells 'n Spellbooks s4OWxYQQ; Create LNytGWDc"
"Create: Wizardry","1.20.1-0.4.2","create_wizardry-1.20.1-0.4.2.jar","needs-testing","https://cdn.modrinth.com/data/OeGdeWEj/versions/LTOnyKql/create_wizardry-1.20.1-0.4.2.jar","961c6fb4dc19892052f9af625679849c222bbc8813a9a610e1e201e63ce965d9","259757","valid","unknown"
"CTOV - Iron's Spells 'n Spellbooks compat","1.2+mod","ctov-irons-spells-n-spellbooks-compat-1.2.jar","needs-testing","https://cdn.modrinth.com/data/B8XiXauo/versions/o57gj0aQ/ctov-irons-spells-n-spellbooks-compat-1.2.jar","5424ea91ec7ec8fc401fbbc3a75d8930a982731039632f7ee546fdba4d8d590e","122134","valid","CTOV fgmhI8kH; Iron's Spells 'n Spellbooks non déclaré"
"Daily Boss x Iron's Spells n Spellbooks","1.0","DailyBoss-IronsSpellbooks-1.20.1-1.0.jar","active","https://cdn.modrinth.com/data/vwhklX1n/versions/Vcxo2Jr7/DailyBoss-IronsSpellbooks-1.20.1-1.0.jar","3971d527b6e798dfa821d3984dd241c99cc8bc14845d2f7e1738bfc309e4ca40","2467787","valid","Iron's Spells 'n Spellbooks s4OWxYQQ; Daily Boss mJhVtlhq"
"Dark Doppelganger","9.8.3-1.20.1","darkdoppelganger-9.8.3-1.20.1.jar","active","https://mediafilez.forgecdn.net/files/8420/264/darkdoppelganger-9.8.3-1.20.1.jar","e68dacf1e4f78001f9157acdc988a407e28c4adf9ff71712f68168b6e5c315d3","4483250","valid","Curios API; GeckoLib; Iron's Spells 'n Spellbooks; playerAnimator"
"Deeper and Darker: Spellbooks","1.3.1-1.20.1","darkermagic-1.3.1-1.20.1-ver.b.jar","active","https://cdn.modrinth.com/data/bY4q13Xr/versions/TNrkYR0t/darkermagic-1.3.1-1.20.1-ver.b.jar","d3dfbafa13d8e7caf98882f76702c87a8a05f4c61b399021ffd1423cd391928a","100035","valid","Iron's Spells 'n Spellbooks s4OWxYQQ 1.20.1-3.15.1; Deeper and Darker fnAffV0n 1.3.3-forge+1.20.1"
"Dungeons and Combat x Iron's Spells","1.5.4","dacxirons-1.5.4.jar","needs-testing","https://cdn.modrinth.com/data/m0cRpuu6/versions/BT2oXI8t/dacxirons-1.5.4.jar","741ef4d14eaaee08c62d57bc504f5a7fe9f697d78be886556e8afe4367b21f33","423500","valid","Dungeons and Combat; Iron's Spells 'n Spellbooks"
"Dungeons and Minecraft","0.2.0-1.20.1-hotfix","dnmmod-0.2.0-1.20.1-hotfix.jar","needs-testing","https://cdn.modrinth.com/data/The3aFE5/versions/vTK7pvtt/dnmmod-0.2.0-1.20.1-hotfix.jar","f63565acde97fe6e4a94b9d7990ede4d2459c488c27e32b89a70f8ce2e800afe","1329143","valid","Pufferfish's Attributes FCFcFw09; Iron's Spells 'n Spellbooks s4OWxYQQ"
"EC Iron's Spells Compat","1.0.0","ec_isasb_plugin-1.20.1-1.0.0-all.jar","active","https://cdn.modrinth.com/data/IiQQ2cUS/versions/OzoWZAUM/ec_isasb_plugin-1.20.1-1.0.0-all.jar","2ae1537c3388124ed56870d6d5f535782dd19c414d9f3a3a2c33e01511c6587e","361989","valid","Expanded Combat sElBpAJt; Iron's Spells 'n Spellbooks s4OWxYQQ; Curios vvuO3ImH; Cloth Config 9s6osm5g"
"Elder Tales","1.5.1","elder_tales-1.5.1.jar","needs-testing","https://cdn.modrinth.com/data/HLT10Whe/versions/8PfdyIcJ/elder_tales-1.5.1.jar","223464a72458fd6bc249ca60c5f7761f16db11489502c3157758de12815d768d","19406871","valid","Iron's Spells 'n Spellbooks 1.20.1-3.15.5.1"
"Elemental Attack Damage Compat","1.2.5-1.20.1","elementalattackdamagecompat-1.2.5-1.20.1.jar","needs-testing","https://cdn.modrinth.com/data/O9BOTj1n/versions/rcjRZAlt/elementalattackdamagecompat-1.2.5-1.20.1.jar","9984d4bcaae810a442b9881905a855ab2e57dfaf7edc6ff303ca2f23872b4c38","142108","valid","unknown"
"Epic Fight x Iron's Spells: Enhanced Animation","2.6.0","efiscompat-2.6.0.jar","needs-testing","https://cdn.modrinth.com/data/LMXo8kAe/versions/6zJ06Tck/efiscompat-2.6.0.jar","c5eef935e534139209e5bf002685c885662bc809d1c4e05ad1309bda8eea07ab","247739","valid","unknown"
"Galosphere Spellbooks","1.1.0","galosphere_spellbooks-1.1.0 (1).jar","needs-testing","https://cdn.modrinth.com/data/39Nrer0H/versions/JbbFKxYN/galosphere_spellbooks-1.1.0%20%281%29.jar","e66e6441734f07712bbd29f50cab2f2d38d53cdddaf6a311ed6e595b44534fdb","33875","valid","unknown"
"Gambler Illager","1.0.0","gambler-1.0.0.jar","active","https://mediafilez.forgecdn.net/files/7293/188/gambler-1.0.0.jar","b4d5741b8461d7a91147def16f4ce9da9bbf828b23922fad96f1b155225a37e4","55190","valid","Iron's Spells 'n Spellbooks"
"GoetyIron","2.0.2","goetyiron-2.0.2.jar","needs-testing","https://cdn.modrinth.com/data/tZpynDu5/versions/y36cwTDi/goetyiron-2.0.2.jar","01275f5b658d16ce8902ac7487d9f112a18e9c495146d899a54282d5e19ad2cb","381902","valid","unknown"
"GTBC's Geomancy Plus","geomancy_plus-2.0.0-1.20.1","gtbcs_geomancy_plus-2.0.0-1.20.1.jar","active","https://mediafilez.forgecdn.net/files/7580/390/gtbcs_geomancy_plus-2.0.0-1.20.1.jar","ffefab18ae5480ab13a1c1e98126d467040de1742ce9ae726c30dedf1dd1b721","671054","valid","GTBC's SpellLib/API; Iron's Spells 'n Spellbooks; Mowzie's Mobs"
"Hazen 'n Stuff","1.1.2","hazennstuff-watered-down-edition-1.1.2.jar","needs-testing","https://cdn.modrinth.com/data/I94FeWYD/versions/4opC9DbH/hazennstuff-watered-down-edition-1.1.2.jar","cce49aa74707634ac78e955442eb6a75e2122338db7f7b91da0286f375014f90","1204816","valid","unknown"
"Ice and Fire: Spellbooks","2.3.2-1.20.1","ice_and_fire_spellbooks-2.3.2-1.20.1.jar","active","https://cdn.modrinth.com/data/aw5e7yPa/versions/fkpYeaSE/ice_and_fire_spellbooks-2.3.2-1.20.1.jar","c15f6234274407976c791f2d1b3776d0aacc5138341aaf81367bd9e47a7f13a5","167367","valid","Iron's Spells 'n Spellbooks s4OWxYQQ; GeckoLib 8BmcQJ2H; Ice and Fire LVnvHVBp"
"Illage and Spell-age","illage-and-spell-age-1.1.0-1.20.1","ias_spellbooks-1.1.0-1.20.1.jar","active","https://mediafilez.forgecdn.net/files/7003/776/ias_spellbooks-1.1.0-1.20.1.jar","6fc4b4b498bff7ebfde388ae8c02a7795d9a7bd9e8a4f93decb74d4ef5ff7e3f","508352","valid","GTBC's SpellLib/API; Illage and Spillage: Respillaged; Iron's Spells 'n Spellbooks"
"IMA","1.20.1-1.0.0","ima-1.20.1-1.0.0.jar","active","https://cdn.modrinth.com/data/24Jdn7TQ/versions/puYuSlVz/ima-1.20.1-1.0.0.jar","5254199ab6174e19ce2632d37926520a0e2fd93c64e90567dd16b4dd3875e800","23018","valid","Iron's Spells 'n Spellbooks s4OWxYQQ"
"Interlace SpellWeaves","0.2.4-fix-3.15compatible","iss_csw-0.2.4-fix-3.15compatible.jar","needs-testing","https://mediafilez.forgecdn.net/files/8191/134/iss_csw-0.2.4-fix-3.15compatible.jar","d015d0f9f52aeb2c1b83241c29cdeb8d416edf4731215b5b8b62386001133eb9","3042868","valid","Iron's Spells 'n Spellbooks 3.15"
"Iotic Spellbooks","1.1.0","ioticspellbooks-1.1.0.jar","needs-testing","https://cdn.modrinth.com/data/Y928i4cC/versions/wQ5ZBE9g/ioticspellbooks-1.1.0.jar","97d0e5f000b025bd69a576b935a72fd781900222ca5d37b8fd1a4cb506ae4101","108946","valid","Hex Casting; Iron's Spells 'n Spellbooks"
"Iron's Botany","1.7.2","ironsbotany-1.7.2.jar","needs-testing","https://cdn.modrinth.com/data/bbBtnO7V/versions/sgECE4KD/ironsbotany-1.7.2.jar","3904ca72df7baecdea67e9ba0f91e0cf483a8d33edf36626375c2079b6cf1643","513045","valid","unknown"
"Iron's Epic Spell Slinger","1.0.0","irons_epic_spell_slingers-forge-1.0.0.jar","needs-testing","https://mediafilez.forgecdn.net/files/8024/61/irons_epic_spell_slingers-forge-1.0.0.jar","ee11a21ead3d91efc8cd53dbc2b70a23d573512405cb672c33fe3e20ba9facfd","955571","valid","Iron's Spells 'n Spellbooks 1.20.1-3.15.4+; MrCrayfish's Gun Mod [Unofficial]"
"Iron's Hexes","0.1-1.20.1","hexxyspells-0.1-1.20.1.jar","needs-testing","https://cdn.modrinth.com/data/esyVsJMB/versions/2VqwI0Eu/hexxyspells-0.1-1.20.1.jar","6b3b7892bc64f019b8e586f801596c0d472008037884f8a2ee34d2e9ace96091","181652","valid","Iron's Spells 'n Spellbooks s4OWxYQQ; Hex Casting nTW3yKrm 0.11.3"
"Iron's Spellbooks Arcane Essence Blocks","1.0.0","Arcane_EssencePlus.jar","active","https://cdn.modrinth.com/data/Pkj2hNRk/versions/kaccDUXC/Arcane_EssencePlus.jar","c703437e7e615e0761fcce15c5e91a8588109318184cbd261c9e03305ea96100","25930","valid","Iron's Spells 'n Spellbooks s4OWxYQQ"
"Iron's Spellbooks Tweaks","1.5.0","irons_spellbooks_tweaks-1.5.0.jar","active","https://cdn.modrinth.com/data/Km6YZ1yF/versions/KTt0kq5Y/irons_spellbooks_tweaks-1.5.0.jar","521fcf34c55b5a1231a2ef5d1cd5f938fb8060d90d4336dd74ab91597027d8ce","86330","valid","optional: Iron's Spells 'n Spellbooks s4OWxYQQ optionnel"
"Iron's Spells More Interaction","1.3.3","irons_spells_more_interaction-1.3.3.jar","needs-testing","https://cdn.modrinth.com/data/bnqtvEUr/versions/1kYKCLGl/irons_spells_more_interaction-1.3.3.jar","5bc8656ffaaa8bb70b7248aafb21f0caa6f8ab3b84e853210273fb0720bf1537","88679","valid","Iron's Lib; Iron's Spells 'n Spellbooks"
"Iron's Spells More Quick Cast","1.20.1-1.0.1","more_quick_cast-1.20.1-1.0.1.jar","active","https://cdn.modrinth.com/data/pIurXcQK/versions/kbw7x0GJ/more_quick_cast-1.20.1-1.0.1.jar","f1c3ef32a9058011a345b3408d487185616301426b99e11970cc82c6153292bc","9731","valid","Iron's Spells 'n Spellbooks s4OWxYQQ; Cloth Config 9s6osm5g"
"Iron's Spells 'n Spellbooks","1.20.1-3.16.2","irons_spellbooks-1.20.1-3.16.2.jar","dependencies","https://cdn.modrinth.com/data/s4OWxYQQ/versions/9v34JOKI/irons_spellbooks-1.20.1-3.16.2.jar","b3a2cc3eac6990dd5badb845bb2e2b74ff89539bc54d793045ee1af6c70cd155","15554022","valid","Curios API; GeckoLib; Iron's Lib; playerAnimator"
"Iron's Spells 'n Spellbooks Dynamic Skill Trees","1.1.0","irons_spells_dynamic_skilltree_1.1.0.jar","active","https://cdn.modrinth.com/data/cdEXZLO4/versions/j2XQWLuk/irons_spells_dynamic_skilltree_1.1.0.jar","07ecb47f5a374879f72239dec136ee8f7c08366384507d32aedb6419afe1e07e","254720","valid","Pufferfish's Skills hqQqvaa4; Iron's Spells 'n Spellbooks s4OWxYQQ; Pufferfish's Attributes FCFcFw09; Pufferfish's Unofficial Additions IAao6ECB"
"Irons Spells 'n Spellbooks Restrictions","1.20.1-1.3.4","irons_restrictions-1.20.1-1.3.4.jar","active","https://cdn.modrinth.com/data/Hrfqig7V/versions/qyxjhBwQ/irons_restrictions-1.20.1-1.3.4.jar","4dac131c6558bba53abf96ff8201883cb63d56c0ae9f3ab858cab6567994cd7f","856315","valid","Iron's Spells 'n Spellbooks s4OWxYQQ"
"Iron's Spells: Spoken Sorcery (Ported)","1.0.0","voicecastaddon-1.0.0.jar","needs-testing","https://cdn.modrinth.com/data/xFlhiDHT/versions/RX82co4X/voicecastaddon-1.0.0.jar","234b47467361b3b360897189086048e6ede26e728b48470964aa0ca9101d2ad3","61591","valid","unknown"
"ISS: Food Spelling","1.0.1","ISS-Food Spelling-1.20.1-1.0.1.jar","active","https://cdn.modrinth.com/data/WRPZLJIA/versions/itqDAw8T/ISS-Food%20Spelling-1.20.1-1.0.1.jar","b450bf79ac18dc95ddb912ac630b5df9e209ef947069c5dd81d3afc1f11e653d","6759","valid","Iron's Spells 'n Spellbooks s4OWxYQQ"
"JustLeveling Fork x IronSpell","1.1","JustLeveling x IronSpell-1.1.jar","needs-testing","https://cdn.modrinth.com/data/RJ1TZdgN/versions/dWO1fCdY/JustLeveling%20x%20IronSpell-1.1.jar","bf89d766e693ccdf621b27ba8e87b0edbb4c4e4cd0097d79fadae59295e9fb65","57640","valid","unknown"
"KubeJS Iron's Spells","6.5-3.14-r2","irons_spells_js-1.20.1-6.5-3.14-r2-release.jar","needs-testing","https://cdn.modrinth.com/data/XLsvc8Ld/versions/a6NiiKTW/irons_spells_js-1.20.1-6.5-3.14-r2-release.jar","da5f2aad3faaec251a37e1d77e3081da71f16569b4ee5b23870a892ad6bb13a6","343899","valid","KubeJS; Iron's Spells 'n Spellbooks"
"Magic Circles - ISAS Addon","1.2.2-1.20.1","magiccircles-1.2.2-1.20.1.jar","active","https://cdn.modrinth.com/data/klEV5T4u/versions/QYfxeQKa/magiccircles-1.2.2-1.20.1.jar","e71dc38573de4cef3e30f855f7fd7ed43223458ea44da803d6e0737b6fda19e4","7658528","valid","Iron's Spells 'n Spellbooks s4OWxYQQ"
"Magic From The East","1.20.1-1.0.0beta","iss_magicfromtheeast-1.20.1-1.0.0alpha.jar","needs-testing","https://cdn.modrinth.com/data/NfYqagMx/versions/XC2kXPPd/iss_magicfromtheeast-1.20.1-1.0.0alpha.jar","92591cb7586b1845e3e084f06377ef1b34e081c351aeb7caa2be3763daa531af","1683483","valid","Iron's Spells 'n Spellbooks s4OWxYQQ"
"Magic Team","2.3.1","magic_team-2.3.1.jar","needs-testing","https://cdn.modrinth.com/data/OhIMcGps/versions/IFONbjyP/magic_team-2.3.1.jar","72d841b82ff4f9851b90f4faa925061025f90823790bd6e2587a220a69ce1892","41443","valid","Babel Core ew9qW5hd; Iron's Spells 'n Spellbooks non déclaré"
"miaoModifiesIronspellsArtifacts","1.2","miaoModifiesIronspellsArtifacts-1.2.jar","needs-testing","https://cdn.modrinth.com/data/H1WYtF8Y/versions/8GegA3gD/miaoModifiesIronspellsArtifacts-1.2.jar","59a36bb5344bf43a3e2dd02bc75207461ab102efdcf3120e0ad7047d23b20edb","44020","valid","unknown"
"Mobbility [Addon: Iron's Spells 'n Spellbooks]","1.0.1","mobbility-addon-irons-spellbooks-1.0.1.jar","needs-testing","https://cdn.modrinth.com/data/OL6dEywl/versions/yT1Z6eeH/mobbility-addon-irons-spellbooks-1.0.1.jar","7d450c93433a4370b3ed95c80e4053d16a4fe24235906985948308c1db8bf56d","101227","valid","Iron's Spells 'n Spellbooks; Architectury API; Mobbility Core; Fzzy Config; Mob Player Animator"
"Mobbility Core","1.0.1","mobbility-forge-1.0.1.jar","dependencies","https://mediafilez.forgecdn.net/files/7810/161/mobbility-forge-1.0.1.jar","372f9ee49ae377015725dde242daaa43aa0f3887ec6e869a11d870e5e0a58e3e","78597","valid","Fzzy Config; Mob Player Animator"
"Osmium's Magic","1.0.5","osmiumsmagic-1.0.5.jar","needs-testing","https://cdn.modrinth.com/data/enr5Vj1O/versions/wOcg3P1f/osmiumsmagic-1.0.5.jar","81c2d149a1691001bbb0e5457783c075a616f9efacbdbe3987530e26cef70c6f","229786","valid","Iron's Spells 'n Spellbooks 1.20.1-3.4.0.9"
"Paladin Spells","1.20.1-0.342","paladin_spells-1.20.1-0.342.jar","needs-testing","https://cdn.modrinth.com/data/JnNkkyFG/versions/SNBIYEK7/paladin_spells-1.20.1-0.342.jar","3c3b7f380ceceeeb818bdf7233607c9c6562c04fe64a9584da5a0cb4b22e5cf6","1815746","valid","unknown"
"Project MMO: Iron's Spells & Spellbooks Compat","1.20.1-1.0.8","pmmo_spellbooks_compat-1.20.1-1.0.8.jar","active","https://cdn.modrinth.com/data/gGnLhnCP/versions/1gJvWlTx/pmmo_spellbooks_compat-1.20.1-1.0.8.jar","4d9cc2aa21466471b7eb2ff3dbfdea64fcd8cc5887ba57d7685800dc9164ad50","43808","valid","Iron's Spells 'n Spellbooks s4OWxYQQ; Project MMO KFQYC1Uy"
"ProjectE: EMC for Iron's Spellbooks","0.1.0+forge-1.20.1","irons_spellbooks_emc-0.1.0+forge-1.20.1.jar","needs-testing","https://cdn.modrinth.com/data/u2PyIpPY/versions/FyAJY4zH/irons_spellbooks_emc-0.1.0%2Bforge-1.20.1.jar","68ce0c0f14f90dfca9d5ad2c5e6b75a24193207188d94017a62ce29cd4dd2b0e","47478","valid","Iron's Spells 'n Spellbooks s4OWxYQQ; ProjectE non déclaré"
"Sanctified Legacy","2.2.6-hotfix","covenant_of_the_seven-2.2.6-hotfix.jar","needs-testing","https://mediafilez.forgecdn.net/files/7821/584/covenant_of_the_seven-2.2.6-hotfix.jar","07de8088ad8235226d4256d9137b3c0985597227b785c3434c650f7b866cd411","753704","valid","AttributeFix; Blood Magic; Enigmatic Legacy; Iron's Spells 'n Spellbooks; Nature's Aura"
"SAROX","1.3","sarox-1.3.jar","active","https://cdn.modrinth.com/data/kIL5YNlf/versions/U6vXcS34/sarox-1.3.jar","209f0b0e5bf746c71e60b831461830ea0e17d171b016fc4f950d45d3f2a4c04b","1033229","valid","optional: Iron's Spells 'n Spellbooks s4OWxYQQ; Curios vvuO3ImH; Demi's Enigmatic Dice 2la1vBXs optionnels"
"Shoulder Surfing: Iron's Spells Integration","0.0.8-mc1.20.1-forge","shoulder_surfing_irons_spells_integration-0.0.8-mc1.20.1-forge.jar","active","https://cdn.modrinth.com/data/d6lYuivc/versions/fODSe0ST/shoulder_surfing_irons_spells_integration-0.0.8-mc1.20.1-forge.jar","49de85dbb0d83971cc03858d38ebbb8c6c8304c6dbf5ea61950fb66761bb0394","945143","valid","Shoulder Surfing Reloaded kepjj2sy; Iron's Spells 'n Spellbooks s4OWxYQQ"
"Skydude's Spell Origins","1.0","spellrigins-1.0.jar","active","https://cdn.modrinth.com/data/pusLkSKJ/versions/h7NR5pI5/spellrigins-1.0.jar","e58cad068a2179ca8ee6a53faa1c22ae0e81def3bfa0435ac94c40571355e80d","60515","valid","Iron's Spells 'n Spellbooks s4OWxYQQ 1.20.1-3.4.0.11; Origins Forge jl3m2lR9 optionnel"
"Slimes and Slimebooks","v1.0.2","slimes_and_slimebooks-1.0.2.jar","needs-testing","https://cdn.modrinth.com/data/PjKbhjzQ/versions/cpi26IzQ/slimes_and_slimebooks-1.0.2.jar","6fdb87fdf549d558a0f0736fd6c9ce50989587f03bd8f3e174737db2f0f4a9ae","107345","valid","unknown"
"Spellbound Fire Charges","1.0.1","sbfc-1.20.1-1.0.1.jar","active","https://cdn.modrinth.com/data/TeATnhvU/versions/WAEzgqP0/sbfc-1.20.1-1.0.1.jar","36075a03c59c902307f816e37594353253d999f4e37df612619d9b3b26ea0318","123431","valid","Iron's Spells 'n Spellbooks s4OWxYQQ; Amendments 6iTJugQR"
"Spells Gone Wrong","1.20.1-2.0.2","spells_gone_wrong-1.20.1-2.0.2.jar","active","https://cdn.modrinth.com/data/4ugLsKOh/versions/3TdzvvZ6/spells_gone_wrong-1.20.1-2.0.2.jar","ac7ed641c41198254cfbc70a20fa848ff1de3f5bd98e01a0a67a401935afbae2","90830","valid","Iron's Spells 'n Spellbooks s4OWxYQQ; JinxedLib Vrr7WtS4"
"T.O Magic 'n Extras","Release-v6.3.0-1.20.1","traveloptics-6.3.0-1.20.1.jar","active","https://mediafilez.forgecdn.net/files/7424/522/traveloptics-6.3.0-1.20.1.jar","878a0fb5a2057de530698fd63091b9fa1c23af0139054af108e9d566840a0fa9","27486118","valid","Alex's Caves; Apothic Attributes; Curios API; Iron's Spells 'n Spellbooks; L_Ender's Cataclysm"
"Trev's Custom Origins: Arvonian","1.4.15","Trev's advanced origins_ arvonian 1.4.15.jar","active","https://cdn.modrinth.com/data/yxUsMOZs/versions/A8Qz6EvG/Trev%27s%20advanced%20origins_%20arvonian%201.4.15.jar","846fae5317469846e8d06bfa6ece0bc1df9a280f80174025de1cac3d21655553","178712","valid","Origins Forge jl3m2lR9; Iron's Spells 'n Spellbooks s4OWxYQQ"
"Ward Ring Extension","1.0.0","wre-1.0.0-forge-1.20.1.jar","active","https://mediafilez.forgecdn.net/files/6099/816/wre-1.0.0-forge-1.20.1.jar","164ad8a8b4e180ec3c1e727247d279f9d5172e1a5393cd761a880c1d6ad0f0b3","86901","valid","Iron's Spells 'n Spellbooks"
"Wind's Spellbooks","1.0.2","wind_spellbooks-1.20.1-1.0.2.jar","needs-testing","https://mediafilez.forgecdn.net/files/8257/717/wind_spellbooks-1.20.1-1.0.2.jar","732c1f9656ea3af41ed2498a40fc056f116ee67089c5baebe794197753003692","475413","valid","Iron's Spells 'n Spellbooks"
"Wizard Samurai - Iron's Spells Addon","1.5","wizard_samurai-1.5.jar","active","https://cdn.modrinth.com/data/Za7950Bh/versions/Uk2HLdUj/wizard_samurai-1.5.jar","a5c161d2d999a138240bab371ce4d2435c1cf2d71cc0c3c6b2a321638285c2cb","1103146","valid","Samurai Dynasty lMWJDrbO; AzureLib 7zlUOZvb; Iron's Spells 'n Spellbooks s4OWxYQQ"
